NUMERO_SITE,NO_VGE,GEO1,GEO2,STATUT,BENNE,MODELE_BENNE,COMMUNE,ADDRESSE,HORAIRES,RIVE,TYPE_CENTRE,PHOTO,PAPIER,VERRE,PET,PET_CONTENEURS,ALU,FER,FER_ALU,CAPSULE_CAFE,PILE,TEXTILE,HUILE_MINERALE,HUILE_VEGETALE,DECHET_ENCOMBRANT,FERRAILLE,GRAVAT,MATIERE_INERTE,MAT_INCINERABLE,BRANCHE,FRIGO,SPECIAUX_MENAGER,ORDURE_MENAGERE,DECHETS_CUISINE,DECHETS_JARDINS,DECHETS_ORGANIQUES,AUTRE_DECHET,SHAPE.AREA,SHAPE.LEN
31-003,,46.192304,6.108108,Existante,En surface,Emaus,Lancy,"Chemin de la caroline 26, Geneva	",,Gauche,Privé,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,11.90592512,14.2462550273362
48-021,,46.172723,6.183672,Existante,Enterrée,Non renseigné,Veyrier,Route du pas-de-l'echelle	,,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/Veyrier/site_48-021.JPG,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,146.86355456,43.0142496376061
47-012,,46.294936,6.161979,Projet,Enterrée,Villiger,Versoix,"Chemin de braille, Geneva	",,Droite,Communal,,,,,,,,,,,,,,,,,,,,,,,,,,,19.06212864,17.908799790856698
47-008,,46.286714,6.160832,Existante,En surface,Non renseigné,Versoix,"Route de sauverny 56, Geneva	",,Droite,Communal,,Oui,Oui,Oui,,,,,Oui,Oui,,,,,,,,,,,,Oui,,,,,11.02413824,16.3398209951117
31-038,,46.221392,6.133592,Existante,Enterrée,Sulo,Lancy,"Ch. sous-bois 3, Geneva",8h-20h,Gauche,Communal,,,,,,,,,,,,,,,,,,,,,,,,,,,12.18510848,18.592808815465197
35-005,,46.155917,6.093397,Existante,Enterrée,Villiger,Perly-certoux,"Chemin du relai 5, Geneva	",,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/Perly/site_35-005.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,16.01175552,20.4474221913817
36-003,,46.16386,6.10947,Existante,Enterrée,Sulo ext.,Plan-les-ouates,"Route de bardonnex, Geneva",Lu-ve 8h-20h di fermé,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/PLO/site_36-003.JPG,Oui,Oui,Oui,,,,Oui,Oui,Oui,,,,,,,,,,,,Oui,,,,,21.13568768,21.623968789766298
33-033,,46.236348,6.076769,Existante,Enterrée,Villiger / sulo / molok,Meyrin,"Rue des bugnons 2, Geneva	",,Droite,Communal,,Oui,Oui,Oui,,,,Oui,,Oui,,,,,,,,,,,,,Oui,Oui,,,66.1167104,36.896243890746796
33-034,,46.23771,6.082258,Existante,Enterrée,Villiger / sulo / molok,Meyrin,"Rue des lattes 3, Geneva	",,Droite,Communal,,Oui,Oui,Oui,,,,Oui,Oui,Oui,Oui,,,,,,,,,,,Oui,,Oui,,,44.63394816,34.412108801165004
06-012,,46.254666,6.154323,Existante,Enterrée,Non renseigné,Bellevue,"Route de lausanne 329, Geneva	",,Droite,Communal,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,4.5889536,8.568749112580061
